Noblesse Lifestyle Group e-commerce product list ,,, ,   ,,, ,,,,,Details,,,*Separate tab,,
Brand,Product,Type,Thread Count,Size (cm),Price (HKD),Weight (g),Description 1,Description 2,Description 3,,,Cover,Fabric,Filling,Washing instructions,Warmth,Origin
Dauny,duvet,Climaactive® Outlast® Superlight,,240x260,"18,000",450,"If you are too cold, it warms you – if you are too warm,
it cools you! We take the finest quality goose down and
combine it with temperature regulating Outlast® high
tech fabric. This is inlaid on one side under the cover
and can therefore start working immediately.
The revolutionary Outlast® temperature regulation
concept based on PCM technology (Phase Change
Material) absorbs surplus heat and stores it. If the
temperature falls, it releases the heat again so that an
optimum temperature can be maintained throughout
the night.","Summertime – an exceptionally light
summer duvet, quilted with a caro design
and including pro-active climate management
for greater comfort as you sleep. With an
underlying high quality Outlast® fabric.",,,,"100% cotton, finest Swiss Batiste, white, hydrophilic
and breathable. With an underlying Outlast® fabric
(58% polyester, 42% silicon with PCM).",,"100% pure, new goose down, white.
Extra large cluster European top quality.
Class I (European norm)",ref to 'washing instructions' sheet,1,Switzerland
Dauny,duvet,Dauny 4-seasons,,155x220,"20,800",260/600,"The four seasons duvet can be changed to suit an
individual’s warmth requirements at any time of year.
It is made of two separate duvets which can easily be
separated and joined. The summer duvet is made up
of small quilted caros, wonderfully light and airy. It
provides the perfect solution for summer nights. The
spring/autumn duvet is divided into cassettes using
sewn-in baffles; has more down filling and is corres -
pondingly warmer.
The duvets are filled with particularly high-quality
down – a wonderful snuggle down feeling. The weave
and the finish of this high quality Batiste guarantee
particularly efficient moisture transport and the best
air circulation.","The light duvet for the summer with small quilted
caros. The somewhat warmer cassette duvet
for the spring and autumn with sewn-in baffles.",,,,"100% cotton, finest Swiss Batiste, white,
hydrophilic and breathable.",,"100% pure, new goose down, white.
Extra large cluster European top quality.
Class I (European norm).",ref to 'washing instructions' sheet,1+3=5,Switzerland
Dauny,duvet,Dauny 4-seasons,,200x220,"27,000",340/790,"The four seasons duvet can be changed to suit an
individual’s warmth requirements at any time of year.
It is made of two separate duvets which can easily be
separated and joined. The summer duvet is made up
of small quilted caros, wonderfully light and airy. It
provides the perfect solution for summer nights. The
spring/autumn duvet is divided into cassettes using
sewn-in baffles; has more down filling and is corres -
pondingly warmer.
The duvets are filled with particularly high-quality
down – a wonderful snuggle down feeling. The weave
and the finish of this high quality Batiste guarantee
particularly efficient moisture transport and the best
air circulation.","The light duvet for the summer with small quilted
caros. The somewhat warmer cassette duvet
for the spring and autumn with sewn-in baffles.",,,,"100% cotton, finest Swiss Batiste, white,
hydrophilic and breathable.",,"100% pure, new goose down, white.
Extra large cluster European top quality.
Class I (European norm).",ref to 'washing instructions' sheet,1+3=5,Switzerland
Dauny,duvet,Dauny 4-seasons,,240x200,"32,600",410/940,"The four seasons duvet can be changed to suit an
individual’s warmth requirements at any time of year.
It is made of two separate duvets which can easily be
separated and joined. The summer duvet is made up
of small quilted caros, wonderfully light and airy. It
provides the perfect solution for summer nights. The
spring/autumn duvet is divided into cassettes using
sewn-in baffles; has more down filling and is corres -
pondingly warmer.
The duvets are filled with particularly high-quality
down – a wonderful snuggle down feeling. The weave
and the finish of this high quality Batiste guarantee
particularly efficient moisture transport and the best
air circulation.","The light duvet for the summer with small quilted
caros. The somewhat warmer cassette duvet
for the spring and autumn with sewn-in baffles.",,,,"100% cotton, finest Swiss Batiste, white,
hydrophilic and breathable.",,"100% pure, new goose down, white.
Extra large cluster European top quality.
Class I (European norm).",ref to 'washing instructions' sheet,1+3=5,Switzerland
Dauny,duvet,Dauny 4-seasons,,260x240,"38,600",480/1110,"The four seasons duvet can be changed to suit an
individual’s warmth requirements at any time of year.
It is made of two separate duvets which can easily be
separated and joined. The summer duvet is made up
of small quilted caros, wonderfully light and airy. It
provides the perfect solution for summer nights. The
spring/autumn duvet is divided into cassettes using
sewn-in baffles; has more down filling and is corres -
pondingly warmer.
The duvets are filled with particularly high-quality
down – a wonderful snuggle down feeling. The weave
and the finish of this high quality Batiste guarantee
particularly efficient moisture transport and the best
air circulation.","The light duvet for the summer with small quilted
caros. The somewhat warmer cassette duvet
for the spring and autumn with sewn-in baffles.",,,,"100% cotton, finest Swiss Batiste, white,
hydrophilic and breathable.",,"100% pure, new goose down, white.
Extra large cluster European top quality.
Class I (European norm).",ref to 'washing instructions' sheet,1+3=5,Switzerland
Dauny,duvet,Excellence Cosy,,155x220,"48,000",800,"A duvet with a silk cover and exclusive filling bestows
you with a particularly luxurious sleep experience.
The combination of the exquisite filling and fine covering
material results in an incomparably soft and cosy
product.
Only the finest, the very best is good enough. We pay
attention to every last detail, from production right
through to finishing. Each cover is produced entirely
by hand with the greatest care in our Swiss atelier.",Hand made in Switzerland.,,,,"100% silk, extra high quality satin made
of fine mulberry silk, down proof, hydrophilic.
Colour champagne.",,"100% pure, new goose down, white.
Extra large cluster Siberian quality.
Washed and carefully selected in Switzerland.
Class I (European norm).",ref to 'washing instructions' sheet,4,Switzerland
Dauny,duvet,Excellence Cosy,,200x220,"62,000",1050,"A duvet with a silk cover and exclusive filling bestows
you with a particularly luxurious sleep experience.
The combination of the exquisite filling and fine covering
material results in an incomparably soft and cosy
product.
Only the finest, the very best is good enough. We pay
attention to every last detail, from production right
through to finishing. Each cover is produced entirely
by hand with the greatest care in our Swiss atelier.",Hand made in Switzerland.,,,,"100% silk, extra high quality satin made
of fine mulberry silk, down proof, hydrophilic.
Colour champagne.",,"100% pure, new goose down, white.
Extra large cluster Siberian quality.
Washed and carefully selected in Switzerland.
Class I (European norm).",ref to 'washing instructions' sheet,4,Switzerland
Dauny,duvet,Excellence Cosy,,240x220,"74,400",1250,"A duvet with a silk cover and exclusive filling bestows
you with a particularly luxurious sleep experience.
The combination of the exquisite filling and fine covering
material results in an incomparably soft and cosy
product.
Only the finest, the very best is good enough. We pay
attention to every last detail, from production right
through to finishing. Each cover is produced entirely
by hand with the greatest care in our Swiss atelier.",Hand made in Switzerland.,,,,"100% silk, extra high quality satin made
of fine mulberry silk, down proof, hydrophilic.
Colour champagne.",,"100% pure, new goose down, white.
Extra large cluster Siberian quality.
Washed and carefully selected in Switzerland.
Class I (European norm).",ref to 'washing instructions' sheet,4,Switzerland
Dauny,duvet,Excellence Cosy,,260x240,"87,600",1490,"A duvet with a silk cover and exclusive filling bestows
you with a particularly luxurious sleep experience.
The combination of the exquisite filling and fine covering
material results in an incomparably soft and cosy
product.
Only the finest, the very best is good enough. We pay
attention to every last detail, from production right
through to finishing. Each cover is produced entirely
by hand with the greatest care in our Swiss atelier.",Hand made in Switzerland.,,,,"100% silk, extra high quality satin made
of fine mulberry silk, down proof, hydrophilic.
Colour champagne.",,"100% pure, new goose down, white.
Extra large cluster Siberian quality.
Washed and carefully selected in Switzerland.
Class I (European norm).",ref to 'washing instructions' sheet,4,Switzerland
Dauny,duvet,Excellence Medium,,155x220,"43,200",550,"A duvet with a silk cover and exclusive filling bestows
you with a particularly luxurious sleep experience.
The combination of the exquisite filling and fine covering
material results in an incomparably soft and cosy
product.
Only the finest, the very best is good enough. We pay
attention to every last detail, from production right
through to finishing. Each cover is produced entirely
by hand with the greatest care in our Swiss atelier.",Hand made in Switzerland.,,,,"100% silk, extra high quality satin made
of fine mulberry silk, down proof, hydrophilic.
Colour champagne.",,"100% pure, new goose down, white.
Extra large cluster Siberian quality.
Washed and carefully selected in Switzerland.
Class I (European norm).",ref to 'washing instructions' sheet,3,Switzerland
Dauny,duvet,Excellence Medium,,200x220,"56,800",720,"A duvet with a silk cover and exclusive filling bestows
you with a particularly luxurious sleep experience.
The combination of the exquisite filling and fine covering
material results in an incomparably soft and cosy
product.
Only the finest, the very best is good enough. We pay
attention to every last detail, from production right
through to finishing. Each cover is produced entirely
by hand with the greatest care in our Swiss atelier.",Hand made in Switzerland.,,,,"100% silk, extra high quality satin made
of fine mulberry silk, down proof, hydrophilic.
Colour champagne.",,"100% pure, new goose down, white.
Extra large cluster Siberian quality.
Washed and carefully selected in Switzerland.
Class I (European norm).",ref to 'washing instructions' sheet,3,Switzerland
Dauny,duvet,Excellence Medium,,240x220,"68,000",860,"A duvet with a silk cover and exclusive filling bestows
you with a particularly luxurious sleep experience.
The combination of the exquisite filling and fine covering
material results in an incomparably soft and cosy
product.
Only the finest, the very best is good enough. We pay
attention to every last detail, from production right
through to finishing. Each cover is produced entirely
by hand with the greatest care in our Swiss atelier.",Hand made in Switzerland.,,,,"100% silk, extra high quality satin made
of fine mulberry silk, down proof, hydrophilic.
Colour champagne.",,"100% pure, new goose down, white.
Extra large cluster Siberian quality.
Washed and carefully selected in Switzerland.
Class I (European norm).",ref to 'washing instructions' sheet,3,Switzerland
Dauny,duvet,Excellence Medium,,260x240,"80,400",1020,"A duvet with a silk cover and exclusive filling bestows
you with a particularly luxurious sleep experience.
The combination of the exquisite filling and fine covering
material results in an incomparably soft and cosy
product.
Only the finest, the very best is good enough. We pay
attention to every last detail, from production right
through to finishing. Each cover is produced entirely
by hand with the greatest care in our Swiss atelier.",Hand made in Switzerland.,,,,"100% silk, extra high quality satin made
of fine mulberry silk, down proof, hydrophilic.
Colour champagne.",,"100% pure, new goose down, white.
Extra large cluster Siberian quality.
Washed and carefully selected in Switzerland.
Class I (European norm).",ref to 'washing instructions' sheet,3,Switzerland
Dauny,duvet,Excellence Light,,155x220,"39,200",300,"A duvet with a silk cover and exclusive filling bestows
you with a particularly luxurious sleep experience.
The combination of the exquisite filling and fine covering
material results in an incomparably soft and cosy
product.
Only the finest, the very best is good enough. We pay
attention to every last detail, from production right
through to finishing. Each cover is produced entirely
by hand with the greatest care in our Swiss atelier.",Hand made in Switzerland.,,,,"100% silk, extra high quality satin made
of fine mulberry silk, down proof, hydrophilic.
Colour champagne.",,"100% pure, new goose down, white.
Extra large cluster Siberian quality.
Washed and carefully selected in Switzerland.
Class I (European norm).",ref to 'washing instructions' sheet,2,Switzerland
Dauny,duvet,Excellence Light,,200x220,"51,600",390,"A duvet with a silk cover and exclusive filling bestows
you with a particularly luxurious sleep experience.
The combination of the exquisite filling and fine covering
material results in an incomparably soft and cosy
product.
Only the finest, the very best is good enough. We pay
attention to every last detail, from production right
through to finishing. Each cover is produced entirely
by hand with the greatest care in our Swiss atelier.",Hand made in Switzerland.,,,,"100% silk, extra high quality satin made
of fine mulberry silk, down proof, hydrophilic.
Colour champagne.",,"100% pure, new goose down, white.
Extra large cluster Siberian quality.
Washed and carefully selected in Switzerland.
Class I (European norm).",ref to 'washing instructions' sheet,2,Switzerland
Dauny,duvet,Excellence Light,,240x220,"61,200",470,"A duvet with a silk cover and exclusive filling bestows
you with a particularly luxurious sleep experience.
The combination of the exquisite filling and fine covering
material results in an incomparably soft and cosy
product.
Only the finest, the very best is good enough. We pay
attention to every last detail, from production right
through to finishing. Each cover is produced entirely
by hand with the greatest care in our Swiss atelier.",Hand made in Switzerland.,,,,"100% silk, extra high quality satin made
of fine mulberry silk, down proof, hydrophilic.
Colour champagne.",,"100% pure, new goose down, white.
Extra large cluster Siberian quality.
Washed and carefully selected in Switzerland.
Class I (European norm).",ref to 'washing instructions' sheet,2,Switzerland
Dauny,duvet,Excellence Light,,260x240,"72,800",560,"A duvet with a silk cover and exclusive filling bestows
you with a particularly luxurious sleep experience.
The combination of the exquisite filling and fine covering
material results in an incomparably soft and cosy
product.
Only the finest, the very best is good enough. We pay
attention to every last detail, from production right
through to finishing. Each cover is produced entirely
by hand with the greatest care in our Swiss atelier.",Hand made in Switzerland.,,,,"100% silk, extra high quality satin made
of fine mulberry silk, down proof, hydrophilic.
Colour champagne.",,"100% pure, new goose down, white.
Extra large cluster Siberian quality.
Washed and carefully selected in Switzerland.
Class I (European norm).",ref to 'washing instructions' sheet,2,Switzerland
Dauny,duvet,Geneva Warm,,155x220,"16,400",900,"The cassette duvets are made with sewn-in baffles
(bridging bands) to create closed cassettes which still
allow free air circulation through the loosely woven
dividing bands – no room for cold spots.
The duvets are filled with particularly high-quality
down – a wonderful snuggle down feeling.
The weave and the finish of this high quality Batiste
guarantee particularly efficient moisture transport and
the best air circulation. The luxurious feel gives you an
incomparable sensation of comfort as you sleep.","Extra warm and more cosy volume
for cold nights. Cassette design with sewn-in
baffles.",,,,"100% cotton, finest Swiss Batiste, white,
hydrophilic and breathable.",,"100% pure, new goose down, white.
Extra large cluster European top quality.
Class I (European norm).",ref to 'washing instructions' sheet,5,Switzerland
Dauny,duvet,Geneva Warm,,200x220,"21,400",1180,"The cassette duvets are made with sewn-in baffles
(bridging bands) to create closed cassettes which still
allow free air circulation through the loosely woven
dividing bands – no room for cold spots.
The duvets are filled with particularly high-quality
down – a wonderful snuggle down feeling.
The weave and the finish of this high quality Batiste
guarantee particularly efficient moisture transport and
the best air circulation. The luxurious feel gives you an
incomparable sensation of comfort as you sleep.","Extra warm and more cosy volume
for cold nights. Cassette design with sewn-in
baffles.",,,,"100% cotton, finest Swiss Batiste, white,
hydrophilic and breathable.",,"100% pure, new goose down, white.
Extra large cluster European top quality.
Class I (European norm).",ref to 'washing instructions' sheet,5,Switzerland
Dauny,duvet,Geneva Warm,,240x220,"25,600",1410,"The cassette duvets are made with sewn-in baffles
(bridging bands) to create closed cassettes which still
allow free air circulation through the loosely woven
dividing bands – no room for cold spots.
The duvets are filled with particularly high-quality
down – a wonderful snuggle down feeling.
The weave and the finish of this high quality Batiste
guarantee particularly efficient moisture transport and
the best air circulation. The luxurious feel gives you an
incomparable sensation of comfort as you sleep.","Extra warm and more cosy volume
for cold nights. Cassette design with sewn-in
baffles.",,,,"100% cotton, finest Swiss Batiste, white,
hydrophilic and breathable.",,"100% pure, new goose down, white.
Extra large cluster European top quality.
Class I (European norm).",ref to 'washing instructions' sheet,5,Switzerland
Dauny,duvet,Geneva Warm,,260x240,"30,400",1670,"The cassette duvets are made with sewn-in baffles
(bridging bands) to create closed cassettes which still
allow free air circulation through the loosely woven
dividing bands – no room for cold spots.
The duvets are filled with particularly high-quality
down – a wonderful snuggle down feeling.
The weave and the finish of this high quality Batiste
guarantee particularly efficient moisture transport and
the best air circulation. The luxurious feel gives you an
incomparable sensation of comfort as you sleep.","Extra warm and more cosy volume
for cold nights. Cassette design with sewn-in
baffles.",,,,"100% cotton, finest Swiss Batiste, white,
hydrophilic and breathable.",,"100% pure, new goose down, white.
Extra large cluster European top quality.
Class I (European norm).",ref to 'washing instructions' sheet,5,Switzerland
Dauny,duvet,Geneva Cosy,,155x220,"15,000",750,"The cassette duvets are made with sewn-in baffles
(bridging bands) to create closed cassettes which still
allow free air circulation through the loosely woven
dividing bands – no room for cold spots.
The duvets are filled with particularly high-quality
down – a wonderful snuggle down feeling.
The weave and the finish of this high quality Batiste
guarantee particularly efficient moisture transport and
the best air circulation. The luxurious feel gives you an
incomparable sensation of comfort as you sleep.","Greater warmth and more cosy volume.
Cassette design with sewn-in baffles.",,,,"100% cotton, finest Swiss Batiste, white,
hydrophilic and breathable.",,"100% pure, new goose down, white.
Extra large cluster European top quality.
Class I (European norm).",ref to 'washing instructions' sheet,4,Switzerland
Dauny,duvet,Geneva Cosy,,200x220,"19,600",980,"The cassette duvets are made with sewn-in baffles
(bridging bands) to create closed cassettes which still
allow free air circulation through the loosely woven
dividing bands – no room for cold spots.
The duvets are filled with particularly high-quality
down – a wonderful snuggle down feeling.
The weave and the finish of this high quality Batiste
guarantee particularly efficient moisture transport and
the best air circulation. The luxurious feel gives you an
incomparable sensation of comfort as you sleep.","Greater warmth and more cosy volume.
Cassette design with sewn-in baffles.",,,,"100% cotton, finest Swiss Batiste, white,
hydrophilic and breathable.",,"100% pure, new goose down, white.
Extra large cluster European top quality.
Class I (European norm).",ref to 'washing instructions' sheet,4,Switzerland
Dauny,duvet,Geneva Cosy,,240x220,"23,600",1180,"The cassette duvets are made with sewn-in baffles
(bridging bands) to create closed cassettes which still
allow free air circulation through the loosely woven
dividing bands – no room for cold spots.
The duvets are filled with particularly high-quality
down – a wonderful snuggle down feeling.
The weave and the finish of this high quality Batiste
guarantee particularly efficient moisture transport and
the best air circulation. The luxurious feel gives you an
incomparable sensation of comfort as you sleep.","Greater warmth and more cosy volume.
Cassette design with sewn-in baffles.",,,,"100% cotton, finest Swiss Batiste, white,
hydrophilic and breathable.",,"100% pure, new goose down, white.
Extra large cluster European top quality.
Class I (European norm).",ref to 'washing instructions' sheet,4,Switzerland
Dauny,duvet,Geneva Cosy,,260x240,"28,000",1390,"The cassette duvets are made with sewn-in baffles
(bridging bands) to create closed cassettes which still
allow free air circulation through the loosely woven
dividing bands – no room for cold spots.
The duvets are filled with particularly high-quality
down – a wonderful snuggle down feeling.
The weave and the finish of this high quality Batiste
guarantee particularly efficient moisture transport and
the best air circulation. The luxurious feel gives you an
incomparable sensation of comfort as you sleep.","Greater warmth and more cosy volume.
Cassette design with sewn-in baffles.",,,,"100% cotton, finest Swiss Batiste, white,
hydrophilic and breathable.",,"100% pure, new goose down, white.
Extra large cluster European top quality.
Class I (European norm).",ref to 'washing instructions' sheet,4,Switzerland
Dauny,duvet,Geneva Medium,,155x220,"13,200",600,"The cassette duvets are made with sewn-in baffles
(bridging bands) to create closed cassettes which still
allow free air circulation through the loosely woven
dividing bands – no room for cold spots.
The duvets are filled with particularly high-quality
down – a wonderful snuggle down feeling.
The weave and the finish of this high quality Batiste
guarantee particularly efficient moisture transport and
the best air circulation. The luxurious feel gives you an
incomparable sensation of comfort as you sleep.","The right warmth for the whole year round.
Cassette design with sewn-in baffles.",,,,"100% cotton, finest Swiss Batiste, white,
hydrophilic and breathable.",,"100% pure, new goose down, white.
Extra large cluster European top quality.
Class I (European norm).",ref to 'washing instructions' sheet,3,Switzerland
